emitter/name;emitter/ror_id;emitter/wikidata_id
University of Roskilde (RUC);014axpa37;
University of Salford Library;01tmqtf75;
University of Salford;01tmqtf75;
University of Saskatchewan;010x8gc63;
University of Sheffield;05krs5044;
University of South Australia;01p93h210;
University of Southampton;01ryk1543;
University of Southern California;03taz7m60;
University of Southern Denmark (SDU);03yrrjy16;
University of St. Gallen;0561a3s31;
University of Stirling;045wgfr59;
University of Surrey;00ks66431;
University of Sussex Library;00ayhx656;
University of Sussex;00ayhx656;
University of Tampere;033003e23;
University of Tennessee, Knoxville;020f3ap87;
University of Tennessee;020f3ap87;
University of Texas System Digital Libraries;;Q76612534
University of Texas, Austin;00hj54h04;
University of the Arts London (UAL);04cnfrn26;
University of the Azure Coast;019tgvf94;
University of the Fraser Valley;04h6w7946;
University of Toronto;03dbr7087;
University of Tromsø - UiT The Arctic University of Norway;00wge5k78;
University of Turku including Turku University Central Hospital;05vghhr25;
University of Turku;05vghhr25;
University of Vechta;045y6d111;
University of Vienna;03prydq77;
University of Virginia;0153tk833;
University of Waikato;013fsnh78;
University of Warwick;01a77tt86;
University of Washington;00cvxb145;
University of Western Australia;047272k79;
University of Windsor;01gw3d370;
University of Winnipeg;02gdzyx04;
University of Wisconsin-Madison;01y2jtd41;
University of Wisconsin, Madison;01y2jtd41;
University of Wolverhampton;01k2y1055;
University of Worcester;00v6s9648;
University of York;04m01e293;
University of Zurich;02crff812;
Uppsala University Library;048a87296;
Utrecht University Library;04pp8hn57;
Utrecht University;04pp8hn57;
VIA University College;04ctbxy49;
VID Specialized University;0191b3351;
Virginia Commonwealth University;02nkdxk79;
Virginia Military Institute;01ngnm118;
Virginia Peninsula Community College;03hqvaq14;
Virginia State University;04esvpn06;
Virginia Tech;02smfhw86;
Virginia Wesleyan University;03ken7w58;
VIVA (Virginia's Academic Library Consortium);021gxf250;
Vrije Universiteit Amsterdam (VU Amsterdam);008xxew50;
Vrije Universiteit Brussel;006e5kg04;
Walla Walla University;02x559v43;
Warner Pacific University;03sjenh86;
Washington State University;05dk0ce17;
Western Oregon University;002xn4752;
Western University;02grkyz14;
Western Washington University;05wn7r715;
Westsächsische Hochschule Zwickau, Hochschulbibliothek;04ms51788
Whitman College;05axv8155;
Whitworth University;04j9d0s43;
Wilfrid Laurier University;00fn7gb05;
Willamette University;04g9e0f44;
William & Mary;03hsf0573;
York University;05fq50484;
ZBW (Leibniz Centre for Economics);03a96gc12;
Zürcher Hochschule der Künste;05r0ap620;
Zürcher Hochschule für Angewandte Wissenschaften (ZHAW);05pmsvm27;
Zurich University of Applied Sciences (ZHAW);05pmsvm27;
Zurich University of the Arts;05r0ap620;
